chr1	207262583	207273337	+	NM_001017364	C4BPB	0	0	1	1	no	1
chr6	90341942	90348474	-	NM_020466	LYRM2	10.3902	9.21859	0.0789	0.121786	no	2
chr10	93808396	94050875	-	NM_014912	CPEB3	4.80512	3.50128	0.0361	0.0598083	no	3
chr10	85991275	86001217	-	NM_015613	LRIT1	0	0	1	1	no	4
chr5	180581942	180582890	+	NM_206880	OR2V2	0	0	1	1	no	5
chr6	138743180	138893668	-	NM_020464	NHSL1	2.89822	4.34929	0.01675	0.0300113	yes	6
chr2	69546900	69614386	-	NM_001244710	GFPT1	11.9666	6.59539	5e-05	0.000150478	yes	7
chr20	45186461	45280100	-	NM_001193342	SLC13A3	8.67199	2.25918	5e-05	0.000150478	yes	8
chr11	59404191	59436511	-	NM_152716	PATL1	26.4852	6.56609	5e-05	0.000150478	yes	9
chr11	57319127	57335803	-	NM_198183	UBE2L6	0.300714	0.083262	1	1	no	10
chr16	66586465	66600190	+	NM_181641	CKLF	13.4423	7.14886	0.0041	0.00802372	yes	11
chr16	66586465	66600190	+	NM_181640	CKLF	13.4423	7.14886	0.0041	0.00802372	yes	12
chr14	51026742	51099784	+	NM_181598	ATL1	1.16101	6.81301	5e-05	0.000150478	yes	13
chr19	36912075	36913799	+	NR_033748	LOC644189	0	0.057616	1	1	no	14
chr5	180750506	180755196	+	NR_028322	LOC100132287	0	0	1	1	no	15
chrUn_gl000228	76141	77521	+	NM_001127386	DUX4L2	0	0	1	1	no	16
chr17	41717757	41738931	-	NM_013999	MEOX1	0	0	1	1	no	17
chr12	10223079	10251605	-	NM_016511	CLEC1A	0	0	1	1	no	18
chr6	99321600	99395882	-	NM_012160	FBXL4	16.2807	9.22584	5e-05	0.000150478	yes	19
chr19	46112657	46142675	-	NM_012155	EML2	2.21943	0.899245	1	1	no	20
chr5	55033844	55112605	+	NM_001166533	DDX4	0	0	1	1	no	21
chr4	155525285	155533902	-	NM_000509	FGG	0	0	1	1	no	22
chr1	154540256	154552353	+	NM_000748	CHRNB2	1.94296	14.6336	5e-05	0.000150478	yes	23
chr11	64126624	64139687	+	NM_003942	RPS6KA4	3.23664	0.782778	0.00045	0.00109034	yes	24
chr21	40752212	40769815	+	NM_004627	WRB	2.79199	0.656105	0.0159	0.0286486	yes	25
chr5	19473154	19988353	-	NM_004934	CDH18	0	0	1	1	no	26
chr10	22605311	22609246	+	NM_012071	COMMD3	9.20443	2.02485	5e-05	0.000150478	yes	27
chrX	119495939	119517104	+	NM_012069	ATP1B4	7.86774	6.39646	0.0219	0.0380705	yes	28
chr19	29698166	29704136	-	NM_006003	UQCRFS1	14.9882	3.09861	5e-05	0.000150478	yes	29
chr2	74688183	74692537	-	NM_006302	MOGS	23.2919	19.2459	0.2796	0.303676	no	30
chr10	5488513	5501019	+	NM_005863	NET1	25.297	10.4559	5e-05	0.000150478	yes	31
chr19	51108219	51108342	+	NR_004384	SNAR-F	0	0	1	1	no	32
chr19	49540276	49540404	+	NR_004383	SNAR-G1	0	0	1	1	no	33
chr19	10218326	10218411	+	NR_004381	SNORD105	433.125	104.726	0.33555	0.359963	no	34
chr17	62223437	62223517	+	NR_004380	SNORD104	2576.3	855.309	0.05305	0.084829	no	35
chrX	109468216	109468288	-	NR_004379	SNORD96B	0	264.61	0.24245	0.271716	no	36
chr2	86362992	86363129	+	NR_004378	SNORD94	266.973	64.3678	0.05645	0.089658	no	37
chr22	46731297	46753237	+	NM_001282782	TRMU	21.4379	7.72397	5e-05	0.000150478	yes	38
chr16	29973350	29984373	+	NM_194280	TMEM219	2.52039	0.332203	1	1	no	39
chr8	143852614	143858437	-	NM_177476	LYNX1	0.167587	0.0800276	1	1	no	40
chr8	143845755	143851246	-	NM_177458	LYNX1	0.167587	0.0800276	1	1	no	41
chr11	65421066	65430443	-	NM_001243985	RELA	16.0449	4.50974	5e-05	0.000150478	yes	42
chr1	26688124	26699266	-	NM_001114759	ZNF683	0	0	1	1	no	43
chr14	94577078	94583033	+	NM_001130080	IFI27	0.819074	1.18568	1	1	no	44
chr11	57425215	57429337	+	NM_001142597	CLP1	6.76135	0.744922	0.0003	0.000736379	yes	45
chr6_ssto_hap7	4610635	4637414	-	NM_080681	COL11A2	0	0	1	1	no	46
chr5	72143929	72210215	+	NM_153188	TNPO1	50.7227	23.6008	5e-05	0.000150478	yes	47
chr1	76540388	77042892	+	NM_001160011	ST6GALNAC3	0.963006	0.509096	1	1	no	48
chr19	36014268	36019253	-	NM_001166034	SBSN	0.241899	2.61179	0.2541	0.279387	no	49
chr3	190231839	190369308	+	NM_001167929	IL1RAP	0.121494	0.240614	1	1	no	50
chr5	58264865	59783925	-	NM_001165899	PDE4D	0.790956	0.449759	1	1	no	51
chr17	56282796	56296966	-	NM_001165927	MKS1	6.18686	0.617402	0.001	0.00216917	yes	52
chr15	59279864	59389618	+	NM_001270529	RNF111	9.97902	8.99733	0.32	0.345289	no	53
chr6_qbl_hap6	2848616	2850328	+	NM_001166538	LST1	0	0	1	1	no	54
chr2	166326156	166545917	+	NM_001172173	CSRNP3	0.298518	0.274028	1	1	no	55
chr15	99511458	99551024	-	NM_001167902	PGPEP1L	0.426899	0.975493	1	1	no	56
chr6	24650204	24667115	-	NM_016614	TDP2	19.2714	6.82968	5e-05	0.000150478	yes	57
chr8	23386362	23430063	+	NM_016612	SLC25A37	17.229	5.65283	5e-05	0.000150478	yes	58
chr5	137688284	137772716	+	NM_016604	KDM3B	23.0316	12.1654	5e-05	0.000150478	yes	59
chr8	145133521	145135551	+	NM_019037	EXOSC4	10.7988	2.41432	0.0027	0.00536921	yes	60
chr13	114598075	114624290	+	NM_001278674	LINC00452	0	0.0624207	1	1	no	61
chr2	128698790	128784869	-	NM_024545	SAP130	37.6123	6.75367	5e-05	0.000150478	yes	62
