NM_181782	NCOA7	4.09846	2.06469	5e-05	0.000150478	yes	-2.03377
NM_003950	F2RL3	5.04158	3.26581	0.0085	0.0160934	yes	-1.77577
NM_001127235	GPBP1	27.9658	11.1215	5e-05	0.000150478	yes	-16.8443
NM_016215	EGFL7	0.828768	0.446738	1	1	no	-0.38203
NM_032450	MROH1	4.59007	1.53032	5e-05	0.000150478	yes	-3.05975
NM_001204084	NBL1	20.5333	14.9248	0.00035	0.000856007	yes	-5.6085
NM_006179	NTF4	0.915718	0.220865	1	1	no	-0.694853
NM_001172432	PHKG2	91.0779	40.6865	5e-05	0.000150478	yes	-50.3914
NM_001122646	FAM178B	0	0.385849	1	1	no	0.385849
NM_021100	NFS1	7.13659	11.6374	0.0002	0.000581673	yes	4.50081
NM_024671	ZNF768	17.3293	5.65591	5e-05	0.000150478	yes	-11.67339
NM_018424	EPB41L4B	3.44065	1.65497	0.0054	0.0104357	yes	-1.78568
NM_018421	TBC1D2	0.93536	0.310495	1	1	no	-0.624865
NM_198042	PDLIM2	1.36528	1.24235	1	1	no	-0.12293
NM_006453	TBL3	13.433	3.20517	5e-05	0.000150478	yes	-10.22783
NM_172080	CAMK2B	0.146316	0.494069	1	1	no	0.347753
NM_172078	CAMK2B	0.146316	0.494069	1	1	no	0.347753
NM_153487	MDGA1	0.1673	0.111042	1	1	no	-0.056258
NR_002753	RNU5F-1	3.54085	2.8185	0.72945	0.745923	no	-0.72235
NM_001243042	HLA-C	0	0	1	1	no	0
NM_001256325	CACNA1G	0.220603	0.106369	1	1	no	-0.114234
NR_003290	EP400NL	20.0459	9.14491	0.0001	0.000296499	yes	-10.90099
NR_003267	GGT3P	0.0993454	0.288013	1	1	no	0.1886676
NM_001113546	LIMA1	2.06909	1.20934	1	1	no	-0.85975
NM_001142569	C1orf106	1.39289	9.43782	5e-05	0.000150478	yes	8.04493
NM_002276	KRT19	0	0.0691209	1	1	no	0.0691209
NM_003992	CLK3	28.1579	16.1009	5e-05	0.000150478	yes	-12.057
NM_199203	TMEM189-UBE2V1	500.893	338.738	5e-05	0.000150478	yes	-162.155
NM_014516	CNOT3	34.6631	11.0735	5e-05	0.000150478	yes	-23.5896
NM_001206994	PPP2R2C	0.40939	0.383885	1	1	no	-0.025505
NM_001271686	RAB3IL1	0.440719	0.131514	1	1	no	-0.309205
NM_001206794	ARID4B	54.7655	26.69	5e-05	0.000150478	yes	-28.0755
NM_001206790	TMPRSS13	0	0.0429086	1	1	no	0.0429086
NM_147173	NUDT2	8.31075	2.26217	0.0025	0.00499556	yes	-6.04858
NM_147172	NUDT2	8.31075	2.26217	0.0025	0.00499556	yes	-6.04858
NM_178128	FADS6	8.76519	4.8458	0.0007	0.00166989	yes	-3.91939
NM_001105556	THEMIS2	2.9248	6.55385	0.0008	0.00189962	yes	3.62905
NM_005027	PIK3R2	9.52031	5.38356	5e-05	0.000150478	yes	-4.13675
NM_001143687	DCST1	0.0901887	0.217195	1	1	no	0.1270063
NM_001271893	TWIST2	3.18945	0.115529	0.2184	0.260978	no	-3.073921
NM_001270944	KLF7	0.243319	0.218807	1	1	no	-0.024512
NM_001270943	KLF7	0.243319	0.218807	1	1	no	-0.024512
NM_001270942	KLF7	0.243319	0.218807	1	1	no	-0.024512
NM_014431	PALD1	29.7847	3.78275	5e-05	0.000150478	yes	-26.00195
NM_017787	WBP1L	2.81629	1.5137	0.0031	0.00613993	yes	-1.30259
NM_017780	CHD7	42.5362	28.4021	5e-05	0.000150478	yes	-14.1341
NM_019009	TOLLIP	3.73903	0.60956	5e-05	0.000150478	yes	-3.12947
NM_014638	PLCH2	0.392837	0.757996	1	1	no	0.365159
NM_130853	PTPRS	8.31164	2.7854	5e-05	0.000150478	yes	-5.52624
NM_198376	CACNA1G	0.220603	0.106369	1	1	no	-0.114234
NM_198383	CACNA1G	0.220603	0.106369	1	1	no	-0.114234
NM_001220777	CDKN1A	9.64217	3.27637	5e-05	0.000150478	yes	-6.3658
NM_032611	PTP4A3	1.52511	0.770535	1	1	no	-0.754575
NM_012182	FOXB1	0.43506	0	1	1	no	-0.43506
NM_005400	PRKCE	5.70015	3.53527	0.20605	0.260978	no	-2.16488
NM_005401	PTPN14	15.6877	12.3326	0.00575	0.0110748	yes	-3.3551
