NM_207421	PADI6	0	7.31918	5e-05	0.000150478	yes
NM_001202554	PIGV	1.33433	5.03872	0.0004	0.000973473	yes
NM_017837	PIGV	1.33433	5.03872	0.0004	0.000973473	yes
NM_001039477	THEMIS2	2.9248	6.55385	0.0008	0.00189962	yes
NM_001105556	THEMIS2	2.9248	6.55385	0.0008	0.00189962	yes
NM_004848	THEMIS2	2.9248	6.55385	0.0008	0.00189962	yes
NM_001009568	SMPDL3B	1.2697	4.37067	0.00315	0.00623429	yes
NM_014474	SMPDL3B	1.2697	4.37067	0.00315	0.00623429	yes
NM_001525	HCRTR1	1.84824	8.26524	0.00105	0.00216917	yes
NM_001198972	KIAA1522	5.21279	7.20283	0.00145	0.00296216	yes
NM_001198973	KIAA1522	5.21279	7.20283	0.00145	0.00296216	yes
NM_020888	KIAA1522	5.21279	7.20283	0.00145	0.00296216	yes
NM_152493	ZNF362	3.12167	5.59672	0.0044	0.0085762	yes
NM_178548	TFAP2E	1.7981	3.98445	5e-05	0.000150478	yes
NM_001162530	SH3D21	4.22312	9.13171	5e-05	0.000150478	yes
NM_024676	SH3D21	4.22312	9.13171	5e-05	0.000150478	yes
NM_003462	DNALI1	2.14786	6.71918	5e-05	0.000150478	yes
NM_001242750	LOC100129924	1.24509	6.0833	0.0291	0.0493831	yes
NM_001136215	ARTN	1.71589	3.72025	0.0122	0.0225794	yes
NM_057090	ARTN	1.71589	3.72025	0.0122	0.0225794	yes
NM_057091	ARTN	1.71589	3.72025	0.0122	0.0225794	yes
NM_152499	CCDC24	0.652927	6.97786	0.01265	0.0233664	yes
NM_004073	PLK3	3.07797	6.36451	0.0005	0.00120678	yes
NM_001136537	BTBD19	0.450851	3.71959	0.0054	0.0104357	yes
NM_174936	PCSK9	0.479678	9.42355	5e-05	0.000150478	yes
NM_013339	ALG6	14.8181	17.1992	0.023	0.0398412	yes
NM_001258214	IL12RB2	11.0859	44.7049	5e-05	0.000150478	yes
NM_001258215	IL12RB2	11.0859	44.7049	5e-05	0.000150478	yes
NM_001258216	IL12RB2	11.0859	44.7049	5e-05	0.000150478	yes
NM_001559	IL12RB2	11.0859	44.7049	5e-05	0.000150478	yes
NM_001031693	HHLA3	4.57287	14.0407	0.0004	0.000973473	yes
NM_001036645	HHLA3	4.57287	14.0407	0.0004	0.000973473	yes
NM_001036646	HHLA3	4.57287	14.0407	0.0004	0.000973473	yes
NR_038420	ZRANB2-AS1	0.618208	3.11898	0.02375	0.0410677	yes
NM_012093	AK5	1.74926	8.24927	5e-05	0.000150478	yes
NM_174858	AK5	1.74926	8.24927	5e-05	0.000150478	yes
NR_026985	LOC339524	0.314303	4.73789	0.0002	0.000581673	yes
NR_026986	LOC339524	0.314303	4.73789	0.0002	0.000581673	yes
NR_026987	LOC339524	0.314303	4.73789	0.0002	0.000581673	yes
NR_026988	LOC339524	0.314303	4.73789	0.0002	0.000581673	yes
NR_026989	LOC339524	0.314303	4.73789	0.0002	0.000581673	yes
NM_001012425	C1orf146	2.09453	7.18887	0.00565	0.0108905	yes
NR_030279	MIR553	11.3749	385.597	0.0039	0.00764563	yes
NM_001144937	FNDC7	0.449525	26.6549	5e-05	0.000150478	yes
NM_001408	CELSR2	2.13524	12.9316	5e-05	0.000150478	yes
NM_000850	GSTM4	0.30883	2.98785	0.01305	0.0239196	yes
NM_147148	GSTM4	0.30883	2.98785	0.01305	0.0239196	yes
NM_004185	WNT2B	0.877025	3.41202	0.00375	0.00736523	yes
NM_024494	WNT2B	0.877025	3.41202	0.00375	0.00736523	yes
NM_001130079	MOV10	5.01861	11.9305	5e-05	0.000150478	yes
NM_020963	MOV10	5.01861	11.9305	5e-05	0.000150478	yes
NM_020190	OLFML3	0	3.24809	5e-05	0.000150478	yes
NM_001256106	CD101	1.01291	2.65335	0.00075	0.00178571	yes
NM_001256109	CD101	1.01291	2.65335	0.00075	0.00178571	yes
NM_001256111	CD101	1.01291	2.65335	0.00075	0.00178571	yes
NM_004258	CD101	1.01291	2.65335	0.00075	0.00178571	yes
NM_003637	ITGA10	0.753279	6.42082	5e-05	0.000150478	yes
NM_001201325	PDZK1	4.18987	14.2708	5e-05	0.000150478	yes
NM_001201326	PDZK1	4.18987	14.2708	5e-05	0.000150478	yes
NM_002614	PDZK1	4.18987	14.2708	5e-05	0.000150478	yes
NM_001202858	ECM1	1.54593	5.47107	0.0001	0.000296499	yes
NM_004425	ECM1	1.54593	5.47107	0.0001	0.000296499	yes
NM_022664	ECM1	1.54593	5.47107	0.0001	0.000296499	yes
NM_003568	ANXA9	0.449384	2.98278	0.0244	0.0420348	yes
NM_024330	SLC27A3	0.663716	3.77362	0.0001	0.000296499	yes
NM_000748	CHRNB2	1.94296	14.6336	5e-05	0.000150478	yes
NM_001252406	ZBTB7B	2.01988	6.27729	5e-05	0.000150478	yes
NM_001256455	ZBTB7B	2.01988	6.27729	5e-05	0.000150478	yes
NM_001105203	RUSC1	9.21986	12.1698	0.01075	0.0200531	yes
