NM_006460	HEXIM1	16.9248	12.783	5e-05	0.000150478	yes	-4.1418	10124
NM_194301	RALGAPA1	32.1105	16.3763	5e-05	0.000150478	yes	-15.7342	10146
NM_178865	SERINC2	1.60791	1.59453	1	1	no	-0.0133799999999999	10283
NM_002372	MAN2A1	18.3226	11.573	5e-05	0.000150478	yes	-6.7496	1056
NM_014742	TM9SF4	32.6356	15.2635	5e-05	0.000150478	yes	-17.3721	10756
NM_001110792	MECP2	21.1755	7.53204	5e-05	0.000150478	yes	-13.64346	10966
NM_015946	PELO	5.24391	0.805316	5e-05	0.000150478	yes	-4.438594	11375
NM_001206557	KIAA1432	18.6459	16.3158	0.08925	0.13649	no	-2.3301	11463
NM_001170414	TJP2	47.6447	27.5278	5e-05	0.000150478	yes	-20.1169	11502
NM_032601	MCEE	0.819813	0.132149	1	1	no	-0.687664	1156
NM_020718	USP31	14.518	7.22638	5e-05	0.000150478	yes	-7.29162	11585
NM_080704	TRPV1	32.7694	17.0072	5e-05	0.000150478	yes	-15.7622	11614
NM_001163034	RPTOR	51.3413	9.44973	5e-05	0.000150478	yes	-41.89157	11963
NM_130842	PTPRN2	0.561661	0.232094	1	1	no	-0.329567	12306
NM_194332	RNF38	17.5557	9.02995	5e-05	0.000150478	yes	-8.52575	12351
NM_002501	NFIX	2.61593	1.95602	0.05095	0.0817629	no	-0.65991	12356
NM_001145648	RASGRF1	0	13.5878	5e-05	0.000150478	yes	13.5878	12468
NM_012401	PLXNB2	4.5916	1.42535	5e-05	0.000150478	yes	-3.16625	12570
NM_001128610	USP8	10.1523	4.57764	0.0001	0.000296499	yes	-5.57466	12588
NM_001199039	SERINC2	1.60791	1.59453	1	1	no	-0.0133799999999999	1298
NM_173465	COL23A1	0.381954	1.93454	1	1	no	1.552586	13241
NM_001184837	GPR64	0.890514	0.292996	1	1	no	-0.597518	13460
NM_199123	SETD3	34.1561	12.9647	5e-05	0.000150478	yes	-21.1914	13486
NM_001198531	TCF7L2	47.865	19.3302	5e-05	0.000150478	yes	-28.5348	13767
NM_001198530	TCF7L2	47.865	19.3302	5e-05	0.000150478	yes	-28.5348	13768
NM_030756	TCF7L2	47.865	19.3302	5e-05	0.000150478	yes	-28.5348	13802
NM_001126051	HDGF	21.9577	4.22327	5e-05	0.000150478	yes	-17.73443	13875
NM_130843	PTPRN2	0.561661	0.232094	1	1	no	-0.329567	13925
NM_015215	CAMTA1	16.1911	10.1096	0.0153	0.0276836	yes	-6.0815	13961
NM_005646	TARBP1	38.8999	17.6188	5e-05	0.000150478	yes	-21.2811	13999
NM_001146274	TCF7L2	47.865	19.3302	5e-05	0.000150478	yes	-28.5348	14201
NM_139167	SGCZ	0	0	1	1	no	0	14491
NM_004015	DMD	2.33053	0.990574	1	1	no	-1.339956	14501
NM_001244888	AGAP1	25.518	3.84575	5e-05	0.000150478	yes	-21.67225	14563
NM_001184834	GPR64	0.890514	0.292996	1	1	no	-0.597518	14771
NM_006342	TACC3	39.8104	9.05335	5e-05	0.000150478	yes	-30.75705	15106
NM_144716	CCDC12	67.6821	24.2747	5e-05	0.000150478	yes	-43.4074	15298
NM_001130524	AP1M1	21.1376	6.28405	5e-05	0.000150478	yes	-14.85355	15359
NM_001171976	CDHR2	1.2228	3.87988	0.0004	0.000973473	yes	2.65708	15412
NM_198174	GRHL3	0.361113	0.457869	1	1	no	0.096756	15901
NM_198173	GRHL3	0.361113	0.457869	1	1	no	0.096756	15902
NM_001199038	SERINC2	1.60791	1.59453	1	1	no	-0.0133799999999999	15914
NM_001199037	SERINC2	1.60791	1.59453	1	1	no	-0.0133799999999999	15915
NM_021938	CELF5	0.650069	0.291564	1	1	no	-0.358505	16032
NM_001083909	GPR123	0	0	1	1	no	0	16079
NM_032493	AP1M1	21.1376	6.28405	5e-05	0.000150478	yes	-14.85355	16580
NM_004012	DMD	2.33053	0.990574	1	1	no	-1.339956	16776
NM_014974	DIP2C	19.1788	4.72455	5e-05	0.000150478	yes	-14.45425	16965
NM_178516	EXOC3L1	0.0793724	0.191536	1	1	no	0.1121636	17035
NM_001135920	KIAA1432	18.6459	16.3158	0.08925	0.13649	no	-2.3301	17103
NM_001278368	RHOH	0.719191	0.89323	1	1	no	0.174039	17124
NM_001278367	RHOH	0.719191	0.89323	1	1	no	0.174039	17125
NM_001278366	RHOH	0.719191	0.89323	1	1	no	0.174039	17126
NM_001099289	SH3RF3	0.943013	0.617278	1	1	no	-0.325735	17276
NM_001184722	GPI	14.9187	6.48225	5e-05	0.000150478	yes	-8.43645	17616
NM_001134647	AFAP1	2.33352	1.03912	1	1	no	-1.2944	17786
NM_001184833	GPR64	0.890514	0.292996	1	1	no	-0.597518	17922
NM_001283044	RALGAPA1	32.1105	16.3763	5e-05	0.000150478	yes	-15.7342	17928
NM_018193	FANCI	82.9828	43.986	5e-05	0.000150478	yes	-38.9968	17995
NM_001098537	PNPLA7	2.52579	5.43526	0.1259	0.175614	no	2.90947	18301
NM_000718	CACNA1B	0.503449	0.166485	1	1	no	-0.336964	19019
NM_001178037	DPP10	0	0	1	1	no	0	19144
NM_004022	DMD	2.33053	0.990574	1	1	no	-1.339956	19260
NM_013988	PARK2	11.4879	7.02869	5e-05	0.000150478	yes	-4.45921	20014
NM_001079858	GPR64	0.890514	0.292996	1	1	no	-0.597518	20126
NM_013432	TONSL	29.9408	12.304	5e-05	0.000150478	yes	-17.6368	20169
NM_004992	MECP2	21.1755	7.53204	5e-05	0.000150478	yes	-13.64346	20226
NM_207304	MBNL2	1.49146	0.799388	1	1	no	-0.692072	20433
NM_001198528	TCF7L2	47.865	19.3302	5e-05	0.000150478	yes	-28.5348	20441
NM_001198527	TCF7L2	47.865	19.3302	5e-05	0.000150478	yes	-28.5348	20442
NM_001198526	TCF7L2	47.865	19.3302	5e-05	0.000150478	yes	-28.5348	20443
NM_001005463	EBF3	28.6011	3.30029	5e-05	0.000150478	yes	-25.30081	20564
NM_006869	ADAP1	1.35573	1.03205	1	1	no	-0.32368	2058
NM_005756	GPR64	0.890514	0.292996	1	1	no	-0.597518	20620
NM_001146284	TCF7L2	47.865	19.3302	5e-05	0.000150478	yes	-28.5348	20628
NM_001715	BLK	0.228836	0	1	1	no	-0.228836	20736
NM_001195643	DHFRL1	2.49451	3.49917	0.0097	0.0181862	yes	1.00466	20846
NM_014990	RALGAPA1	32.1105	16.3763	5e-05	0.000150478	yes	-15.7342	20877
NM_015315	LARP1	53.7855	18.8084	5e-05	0.000150478	yes	-34.9771	21191
NM_001079860	GPR64	0.890514	0.292996	1	1	no	-0.597518	21254
NM_152383	DIS3L2	19.5698	8.31305	5e-05	0.000150478	yes	-11.25675	21374
NM_004502	HOXB7	0.783132	1.88867	1	1	no	1.105538	2143
NM_004491	ARHGAP35	7.02087	2.79314	5e-05	0.000150478	yes	-4.22773	2144
NM_004018	DMD	2.33053	0.990574	1	1	no	-1.339956	2159
NM_001243133	NLRP3	2.83861	1.79534	0.0107	0.019964	yes	-1.04327	21706
NM_001198525	TCF7L2	47.865	19.3302	5e-05	0.000150478	yes	-28.5348	21727
NM_020971	SPTBN4	0.356158	0.101927	1	1	no	-0.254231	21857
NM_014427	CPNE7	0.233264	4.44118	0.00035	0.000856007	yes	4.207916	21860
NM_001184835	GPR64	0.890514	0.292996	1	1	no	-0.597518	2209
NM_003861	DCAF5	7.09919	5.00855	0.0009	0.00212656	yes	-2.09064	22392
NM_001146286	TCF7L2	47.865	19.3302	5e-05	0.000150478	yes	-28.5348	22621
NM_001146285	TCF7L2	47.865	19.3302	5e-05	0.000150478	yes	-28.5348	22622
NM_001145436	LSS	22.7424	9.72814	5e-05	0.000150478	yes	-13.01426	22795
NM_002847	PTPRN2	0.561661	0.232094	1	1	no	-0.329567	22813
NM_001143820	ETS1	1.18947	0.732381	1	1	no	-0.457089	23207
NM_015318	ARHGEF18	21.0735	7.20963	0.0002	0.000581673	yes	-13.86387	23446
NM_001130927	MEF2A	23.935	16.3136	5e-05	0.000150478	yes	-7.6214	23616
NM_001257281	DIS3L2	19.5698	8.31305	5e-05	0.000150478	yes	-11.25675	23741
NM_001184742	ZBTB33	15.4086	0.806881	5e-05	0.000150478	yes	-14.601719	23888
NM_005587	MEF2A	23.935	16.3136	5e-05	0.000150478	yes	-7.6214	2390
NM_032350	C7orf50	19.4887	3.26131	5e-05	0.000150478	yes	-16.22739	23937
