chr17	61993562	61994562	-	NM_000515	GH1	0	0	1	1	no	2288
chr12	49975657	49976657	-	NR_027450	FAM186B	12.1577	3.89162	0.0005	0.00120678	yes	5566
chr9	67791928	67792928	-	NR_027422	FAM27B	0.364724	0.176375	1	1	no	6130
chr9	44991492	44992492	+	NR_027421	FAM27C	0	0.351875	1	1	no	6131
chr1	2114898	2115898	-	NM_001146310	C1orf86	20.4401	5.56213	5e-05	0.000150478	yes	6324
chr1	2114898	2115898	-	NM_001282672	C1orf86	20.4401	5.56213	5e-05	0.000150478	yes	7263
chr1	2114898	2115898	-	NM_001256945	C1orf86	20.4401	5.56213	5e-05	0.000150478	yes	8804
chr18	46445222	46446222	-	NM_001190823	SMAD7	11.5607	1.29224	5e-05	0.000150478	yes	9120
chr18	46445222	46446222	-	NM_001190822	SMAD7	11.5607	1.29224	5e-05	0.000150478	yes	9121
chr17	61993562	61994562	-	NM_022561	GH1	0	0	1	1	no	11787
chr8	86572664	86573664	-	NR_003594	REXO1L2P	0	0	1	1	no	13021
chr8	86728150	86729150	+	NR_003594	REXO1L2P	0	0	1	1	no	13022
chr8	86749604	86750604	+	NR_003594	REXO1L2P	0	0	1	1	no	13023
chr17	61993562	61994562	-	NM_022559	GH1	0	0	1	1	no	14075
chr18	46445222	46446222	-	NM_001190821	SMAD7	11.5607	1.29224	5e-05	0.000150478	yes	16947
chr1	2114898	2115898	-	NM_001282673	C1orf86	20.4401	5.56213	5e-05	0.000150478	yes	17556
chr18	44547657	44548657	-	NM_001242907	TCEB3CL2	0.253309	0	1	1	no	20926
chr14	26914088	26915088	-	NM_006489	NOVA1	0.72341	0.371749	1	1	no	21178
chr4	9251948	9252948	+	NM_001256854	USP17L11	0	0	1	1	no	23254
chr4	9261442	9262442	+	NM_001256854	USP17L11	0	0	1	1	no	23255
chr4	9251948	9252948	+	NM_001256859	USP17L18	0	0	1	1	no	25042
chr1	2114898	2115898	-	NM_001282671	C1orf86	20.4401	5.56213	5e-05	0.000150478	yes	26295
chr11	67164651	67165651	-	NM_002708	PPP1CA	18.7306	5.48182	5e-05	0.000150478	yes	26338
chr17	61993562	61994562	-	NM_022562	GH1	0	0	1	1	no	26828
chr16	32887796	32888796	-	NR_003083	SLC6A10P	2.95408	1.13523	5e-05	0.000150478	yes	29396
chr8	86786244	86787244	-	NR_003594	REXO1L2P	0	0	1	1	no	31164
chr4	9261442	9262442	+	NM_001256863	USP17L22	0	0	1	1	no	31332
chr18	44547657	44548657	-	NM_145653	TCEB3C	0	0	1	1	no	32537
chr14	26914088	26915088	-	NM_002515	NOVA1	0.72341	0.371749	1	1	no	33714
chr21	9826263	9827263	+	NR_037458	MIR3687	1.3308e+07	868520	5e-05	0.000150478	yes	34533
chr9	68426782	68427782	-	NR_033907	LOC642236	58.9871	51.1374	0.05525	0.087863	no	34672
chr11	67164651	67165651	-	NM_206873	PPP1CA	18.7306	5.48182	5e-05	0.000150478	yes	34959
chr21	9826011	9827011	+	NR_037421	MIR3648	1.3308e+07	868520	5e-05	0.000150478	yes	37085
chr2	239360891	239361891	+	NM_001040445	ASB1	5.71159	1.25864	5e-05	0.000150478	yes	37605
chr10	135485241	135486241	+	NM_001127386	DUX4L2	0	0	1	1	no	37628
chr10	135485241	135486241	+	NM_001127388	DUX4L6	0	0	1	1	no	37629
chr10	135485241	135486241	+	NM_001127389	DUX4L5	0	0	1	1	no	37630
chr10	135485241	135486241	+	NM_001278056	LOC100653046	0	0	1	1	no	37632
chr10	135485241	135486241	+	NM_012147	DUX2	0	0	1	1	no	37633
chr18	46445222	46446222	-	NM_005904	SMAD7	11.5607	1.29224	5e-05	0.000150478	yes	40752
chr17	61993562	61994562	-	NM_022560	GH1	0	0	1	1	no	40782
chr10	135485241	135486241	+	NM_033178	DUX4	0.265694	0.128167	1	1	no	41168
chr10	135485241	135486241	+	NM_001164467	DUX4L3	0	0	1	1	no	42061
chr11	67164651	67165651	-	NM_001008709	PPP1CA	18.7306	5.48182	5e-05	0.000150478	yes	42952
