chr17	43224683	43229468	+	NM_006460	HEXIM1	16.9248	12.783	5e-05	0.000150478	yes	10124	
chr14	36007557	36278432	-	NM_194301	RALGAPA1	32.1105	16.3763	5e-05	0.000150478	yes	10146	
chr1	31885962	31907527	+	NM_178865	SERINC2	1.60791	1.59453	1	1	no	10283	
chr5	109025155	109203429	+	NM_002372	MAN2A1	18.3226	11.573	5e-05	0.000150478	yes	1056	
chr20	30697308	30755061	+	NM_014742	TM9SF4	32.6356	15.2635	5e-05	0.000150478	yes	10756	
chr12	54388991	54390569	-	NR_047505	HOXC-AS2	0.606647	0.585276	1	1	no	10895	
chrX	153295685	153363188	-	NM_001110792	MECP2	21.1755	7.53204	5e-05	0.000150478	yes	10966	
chr5	52083773	52098452	+	NM_015946	PELO	5.24391	0.805316	5e-05	0.000150478	yes	11375	
chr9	5629118	5776556	+	NM_001206557	KIAA1432	18.6459	16.3158	0.08925	0.13649	no	11463	
chr9	71736179	71870124	+	NM_001170414	TJP2	47.6447	27.5278	5e-05	0.000150478	yes	11502	
chr2	71336805	71357394	-	NM_032601	MCEE	0.819813	0.132149	1	1	no	1156	
chr16	23072727	23160591	-	NM_020718	USP31	14.518	7.22638	5e-05	0.000150478	yes	11585	
chr17	3468739	3512705	-	NM_080704	TRPV1	32.7694	17.0072	5e-05	0.000150478	yes	11614	
chr17	78518624	78940173	+	NM_001163034	RPTOR	51.3413	9.44973	5e-05	0.000150478	yes	11963	
chr19	5623045	5668489	+	NM_002967	SAFB	87.1623	23.9086	5e-05	0.000150478	yes	12221	
chr7	157331749	158380482	-	NM_130842	PTPRN2	0.561661	0.232094	1	1	no	12306	
chrX	27826106	27841131	+	NM_182506	MAGEB10	10.9263	5.52042	5e-05	0.000150478	yes	12346	
chr9	36336398	36400920	-	NM_194332	RNF38	17.5557	9.02995	5e-05	0.000150478	yes	12351	
chr19	13106583	13209610	+	NM_002501	NFIX	2.61593	1.95602	0.05095	0.0817629	no	12356	
chr15	79252288	79383215	-	NM_001145648	RASGRF1	0	13.5878	5e-05	0.000150478	yes	12468	
chr22	50713407	50746001	-	NM_012401	PLXNB2	4.5916	1.42535	5e-05	0.000150478	yes	12570	
chr15	50716573	50793280	+	NM_001128610	USP8	10.1523	4.57764	0.0001	0.000296499	yes	12588	
chr12	49952076	49961928	-	NM_006337	MCRS1	20.8153	4.56686	5e-05	0.000150478	yes	12659	
chrX	135229558	135293518	+	NM_001449	FHL1	13.3731	8.12159	5e-05	0.000150478	yes	12972	
chr1	31886659	31907527	+	NM_001199039	SERINC2	1.60791	1.59453	1	1	no	1298	
chr19	42829760	42882921	+	NM_001410	MEGF8	8.71149	3.52221	5e-05	0.000150478	yes	13212	
chr5	177664616	178017556	-	NM_173465	COL23A1	0.381954	1.93454	1	1	no	13241	
chr1	210502639	210849638	+	NM_001170580	HHAT	0.386909	0.239482	1	1	no	13442	
